index,Accuracy,Precision,DiceSimilarityCoefficient,IntersectionOverUnion,HausdorffDistance,TruePositive,TrueNegative,FalsePositive,FalseNegative,AUC,TruePositive_nor,TrueNegative_nor,FalsePositive_nor,FalseNegative_nor
14826,0.974102,0.849383,0.787961,0.650111,8,11087,213346,1966,4001,0.862846,4.812 ,92.598 ,0.853 ,1.737 
14827,0.977899,0.851276,0.809815,0.680412,9.643651,10841,214467,1894,3198,0.881726,4.705 ,93.085 ,0.822 ,1.388 
14828,0.973668,0.815407,0.750709,0.600908,11.357817,9135,215198,2068,3999,0.843002,3.965 ,93.402 ,0.898 ,1.736 
14829,0.972808,0.853142,0.778301,0.637064,9.380832,10997,213138,1893,4372,0.853364,4.773 ,92.508 ,0.822 ,1.898 
14830,0.977339,0.788704,0.785365,0.646585,12.961481,9552,215627,2559,2662,0.885162,4.146 ,93.588 ,1.111 ,1.155 
14831,0.990451,0.652487,0.711664,0.552391,11.401754,2715,225485,1446,754,0.888137,1.178 ,97.867 ,0.628 ,0.327 
14832,0.995508,0.874667,0.717136,0.559012,4.795832,1312,228053,188,847,0.803433,0.569 ,98.981 ,0.082 ,0.368 
14833,0.988637,0.842315,0.828642,0.707421,6.480741,6330,221452,1185,1433,0.905042,2.747 ,96.116 ,0.514 ,0.622 
14834,0.983793,0.84613,0.816529,0.689944,7.549834,8309,218357,1511,2223,0.891028,3.606 ,94.773 ,0.656 ,0.965 
14835,0.982292,0.824414,0.814123,0.686516,10.148892,8935,217385,1903,2177,0.897704,3.878 ,94.351 ,0.826 ,0.945 
14836,0.978186,0.780422,0.806767,0.676118,10.198039,10492,214882,2952,2074,0.9107,4.554 ,93.265 ,1.281 ,0.900 
14837,0.98194,0.803483,0.814481,0.687025,10.198039,9134,217105,2234,1927,0.9078,3.964 ,94.230 ,0.970 ,0.836 
14838,0.982747,0.835157,0.83526,0.717122,8.485281,10077,216348,1989,1986,0.913127,4.374 ,93.901 ,0.863 ,0.862 
14839,0.984262,0.807068,0.822551,0.698587,7.211103,8404,218370,2009,1617,0.914761,3.648 ,94.779 ,0.872 ,0.702 
14840,0.985317,0.862313,0.850541,0.739949,7.745967,9626,217391,1537,1846,0.916033,4.178 ,94.354 ,0.667 ,0.801 
14841,0.986272,0.851488,0.826827,0.704779,7,7551,219686,1317,1846,0.898798,3.277 ,95.350 ,0.572 ,0.801 
14842,0.983576,0.850166,0.821728,0.697401,8.246211,8721,217895,1537,2247,0.894063,3.785 ,94.572 ,0.667 ,0.975 
14843,0.987109,0.842286,0.831995,0.712321,6.164414,7354,220076,1377,1593,0.907867,3.192 ,95.519 ,0.598 ,0.691 
14844,0.981589,0.68222,0.699703,0.53811,8.485281,4942,221216,2302,1940,0.853903,2.145 ,96.014 ,0.999 ,0.842 
14845,0.982704,0.798358,0.687083,0.523325,8.185353,4375,222040,1105,2880,0.79904,1.899 ,96.372 ,0.480 ,1.250 
14846,0.986094,0.879381,0.726947,0.571027,6.324555,4265,222931,585,2619,0.808468,1.851 ,96.758 ,0.254 ,1.137 
14847,0.990599,0.810939,0.749885,0.599852,4.898979,3247,224987,757,1409,0.847013,1.409 ,97.651 ,0.329 ,0.612 
14848,0.985195,0.781331,0.80864,0.678753,7.874008,7207,219782,2017,1394,0.914416,3.128 ,95.391 ,0.875 ,0.605 
14849,0.982452,0.842363,0.828926,0.707834,8.831761,9795,216562,1833,2210,0.903758,4.251 ,93.994 ,0.796 ,0.959 
14850,0.979032,0.759199,0.78161,0.641511,9.486833,8645,216924,2742,2089,0.896451,3.752 ,94.151 ,1.190 ,0.907 
14851,0.96309,0.505351,0.623317,0.452767,12.206556,7036,214860,6887,1617,0.891035,3.054 ,93.255 ,2.989 ,0.702 
14852,0.977504,0.719406,0.760523,0.613584,10.677078,8230,216987,3210,1973,0.896024,3.572 ,94.178 ,1.393 ,0.856 
14853,0.980803,0.83037,0.80542,0.674228,10.77033,9154,216823,1870,2553,0.886687,3.973 ,94.107 ,0.812 ,1.108 
14854,0.984436,0.764096,0.777378,0.635828,8.544004,6261,220553,1933,1653,0.891221,2.717 ,95.726 ,0.839 ,0.717 
14855,0.982253,0.592874,0.498221,0.331754,10.77033,2030,224281,1394,2695,0.711726,0.881 ,97.344 ,0.605 ,1.170 
14856,0.968346,0.670487,0.700825,0.539438,11.575837,8542,214565,4198,3095,0.857424,3.707 ,93.127 ,1.822 ,1.343 
14857,0.988481,0.812873,0.796003,0.661134,7.745967,5178,222568,1192,1462,0.887246,2.247 ,96.601 ,0.517 ,0.635 
14858,0.97612,0.763458,0.799607,0.666121,8.602325,10977,213921,3401,2101,0.911849,4.764 ,92.848 ,1.476 ,0.912 
14859,0.97773,0.785023,0.815823,0.688936,9.797959,11364,213905,3112,2019,0.917399,4.932 ,92.841 ,1.351 ,0.876 
14860,0.970938,0.658518,0.742303,0.590208,12.4499,9644,214060,5001,1695,0.913843,4.186 ,92.908 ,2.171 ,0.736 
14861,0.97418,0.712342,0.771693,0.628257,11.7047,10054,214397,4060,1889,0.911624,4.364 ,93.054 ,1.762 ,0.820 
14862,0.973129,0.715446,0.776361,0.634469,9.899495,10746,213463,4274,1917,0.914492,4.664 ,92.649 ,1.855 ,0.832 
14863,0.973112,0.751501,0.793383,0.657527,11.401754,11894,212311,3933,2262,0.911011,5.162 ,92.149 ,1.707 ,0.982 
14864,0.994158,0.80217,0.806776,0.676131,5.09902,2810,226244,693,653,0.904191,1.220 ,98.196 ,0.301 ,0.283 
14865,0.994865,0.845714,0.833451,0.714458,5.291503,2960,226257,540,643,0.909578,1.285 ,98.202 ,0.234 ,0.279 
14866,0.994596,0.802916,0.821454,0.697007,5.09902,2864,226291,703,542,0.918886,1.243 ,98.217 ,0.305 ,0.235 
14867,0.994479,0.832801,0.818545,0.692828,5.196152,2869,226259,576,696,0.901115,1.245 ,98.203 ,0.250 ,0.302 
14868,0.993867,0.815842,0.803231,0.671166,5.196152,2884,226103,651,762,0.894066,1.252 ,98.135 ,0.283 ,0.331 
14869,0.994505,0.841456,0.82259,0.698643,5.09902,2935,226199,553,713,0.901056,1.274 ,98.177 ,0.240 ,0.309 
14870,0.994032,0.805461,0.80466,0.673164,5.196152,2832,226193,684,691,0.900423,1.229 ,98.174 ,0.297 ,0.300 
14871,0.994705,0.837592,0.828652,0.707434,5.196152,2950,226230,572,648,0.908689,1.280 ,98.190 ,0.248 ,0.281 
14872,0.994171,0.830376,0.80437,0.672758,5.09902,2761,226296,564,779,0.888729,1.198 ,98.219 ,0.245 ,0.338 
